domain,agency,status,redirect,valid,sitemap,allowed
cdcpartners.gov,"Department of Health and Human Services",500,"null",false,"null",false
brainhealth.gov,"Department of Health and Human Services",500,"null",false,"null",false
wapa.gov,"Department of Energy",500,"null",false,"null",false
childwelfare.gov,"Department of Health and Human Services",500,"null",false,"null",false
clinicaltrial.gov,"Department of Health and Human Services",500,"null",false,"null",false
clinicaltrials.gov,"Department of Health and Human Services",200,"https://clinicaltrials.gov/robots.txt",true,"null",true
cerebrosano.gov,"Department of Health and Human Services",500,"null",false,"null",false
cms.gov,"Department of Health and Human Services",200,"https://www.cms.gov/robots.txt",true,"null",true
collegedrinkingprevention.gov,"Department of Health and Human Services",200,"https://collegedrinkingprevention.gov/robots.txt",true,"https://arcr.niaaa.nih.gov/sitemap.xml",true
coronavirus.gov,"Department of Health and Human Services",200,"https://www.cdc.gov/coronavirus/2019-ncov/index.html",false,"null",false
covid.gov,"Department of Health and Human Services",200,"https://www.covid.gov/",false,"null",false
covidtest.gov,"Department of Health and Human Services",200,"https://www.covid.gov/tools-and-resources/resources/tests",false,"null",false
afterschool.gov,"Department of Health and Human Services",500,"null",false,"null",false
covidtests.gov,"Department of Health and Human Services",200,"https://www.covid.gov/tools-and-resources/resources/tests",false,"null",false
cuidadodesalud.gov,"Department of Health and Human Services",200,"https://www.cuidadodesalud.gov/es/robots.txt",true,"https://www.cuidadodesalud.gov/es/sitemap-index.xml",true
dhhs.gov,"Department of Health and Human Services",200,"https://www.hhs.gov/robots.txt",true,"null",true
donaciondeorganos.gov,"Department of Health and Human Services",200,"https://donaciondeorganos.gov/robots.txt",true,"https://donaciondeorganos.gov/sitemap.xml",true
